dataset,part,model,nbits,group_size,layer,sensitivity
pileval,attn_in,Llama-2-7b-hf,3,32,0,7.323668000935868e-07
pileval,attn_out,Llama-2-7b-hf,3,32,0,1.4089265505390358e-06
pileval,mlp_gate,Llama-2-7b-hf,3,32,0,4.204481456326903e-07
pileval,mlp_down,Llama-2-7b-hf,3,32,0,3.4292393138457555e-06
pileval,attn_in,Llama-2-7b-hf,3,32,1,3.019787754965364e-06
pileval,attn_out,Llama-2-7b-hf,3,32,1,5.1959732445538975e-06
pileval,mlp_gate,Llama-2-7b-hf,3,32,1,8.488156890962273e-05
pileval,mlp_down,Llama-2-7b-hf,3,32,1,0.008964169770479202
pileval,attn_in,Llama-2-7b-hf,3,32,2,9.743419468577486e-06
pileval,attn_out,Llama-2-7b-hf,3,32,2,5.388124918681569e-06
pileval,mlp_gate,Llama-2-7b-hf,3,32,2,1.302797954849666e-05
pileval,mlp_down,Llama-2-7b-hf,3,32,2,1.573244844621513e-05
pileval,attn_in,Llama-2-7b-hf,3,32,3,2.3472133761970326e-05
pileval,attn_out,Llama-2-7b-hf,3,32,3,1.023778531816788e-05
pileval,mlp_gate,Llama-2-7b-hf,3,32,3,3.1847590435063466e-05
pileval,mlp_down,Llama-2-7b-hf,3,32,3,3.0639985197922215e-05
pileval,attn_in,Llama-2-7b-hf,3,32,4,5.353008600650355e-05
pileval,attn_out,Llama-2-7b-hf,3,32,4,2.0687572032329626e-05
pileval,mlp_gate,Llama-2-7b-hf,3,32,4,5.988179691485129e-05
pileval,mlp_down,Llama-2-7b-hf,3,32,4,7.001098128966987e-05
pileval,attn_in,Llama-2-7b-hf,3,32,5,0.0001001299315248616
pileval,attn_out,Llama-2-7b-hf,3,32,5,4.082700252183713e-05
pileval,mlp_gate,Llama-2-7b-hf,3,32,5,9.363078424939886e-05
pileval,mlp_down,Llama-2-7b-hf,3,32,5,8.21021749288775e-05
pileval,attn_in,Llama-2-7b-hf,3,32,6,0.00010778152500279248
pileval,attn_out,Llama-2-7b-hf,3,32,6,5.0123315304517746e-05
pileval,mlp_gate,Llama-2-7b-hf,3,32,6,0.00013959023635834455
pileval,mlp_down,Llama-2-7b-hf,3,32,6,0.00012401620915625244
pileval,attn_in,Llama-2-7b-hf,3,32,7,0.00015008318587206304
pileval,attn_out,Llama-2-7b-hf,3,32,7,7.18965966370888e-05
pileval,mlp_gate,Llama-2-7b-hf,3,32,7,0.00019249408796895295
pileval,mlp_down,Llama-2-7b-hf,3,32,7,0.00016600127855781466
pileval,attn_in,Llama-2-7b-hf,3,32,8,0.00024514266988262534
pileval,attn_out,Llama-2-7b-hf,3,32,8,0.0001043544543790631
pileval,mlp_gate,Llama-2-7b-hf,3,32,8,0.00023842712107580155
pileval,mlp_down,Llama-2-7b-hf,3,32,8,0.000202592316782102
pileval,attn_in,Llama-2-7b-hf,3,32,9,0.0003097690350841731
pileval,attn_out,Llama-2-7b-hf,3,32,9,0.00014246077626012266
pileval,mlp_gate,Llama-2-7b-hf,3,32,9,0.00027948981733061373
pileval,mlp_down,Llama-2-7b-hf,3,32,9,0.00023460423108190298
pileval,attn_in,Llama-2-7b-hf,3,32,10,0.00039093769737519324
pileval,attn_out,Llama-2-7b-hf,3,32,10,0.00019553412857931107
pileval,mlp_gate,Llama-2-7b-hf,3,32,10,0.0003267282445449382
pileval,mlp_down,Llama-2-7b-hf,3,32,10,0.0002705933293327689
pileval,attn_in,Llama-2-7b-hf,3,32,11,0.0004086094268132001
