layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
0,self_attn.q_proj,2,32,8,128,29.71926498413086,5.015625,16777216,23.477997808080044,1,3.304544179627555e-6
0,self_attn.q_proj,2,64,8,128,36.01884460449219,4.5078125,16777216,23.477997808080044,1,4.8869187594391406e-6
0,self_attn.q_proj,2,128,8,128,41.75963973999024,4.25390625,16777216,23.477997808080044,1,6.980003036005655e-6
0,self_attn.q_proj,3,32,8,128,12.962769508361816,7.015625,16777216,23.477997808080044,1,7.449373242707225e-7
0,self_attn.q_proj,3,64,8,128,16.056236267089844,6.5078125,16777216,23.477997808080044,1,1.038387722473999e-6
0,self_attn.q_proj,3,128,8,128,19.37236785888672,6.25390625,16777216,23.477997808080044,1,1.5446798897755798e-6
0,self_attn.q_proj,4,32,8,128,6.056663036346436,9.015625,16777216,23.477997808080044,1,1.8924012579191185e-7
0,self_attn.q_proj,4,64,8,128,7.511712551116943,8.5078125,16777216,23.477997808080044,1,2.350435579501209e-7
0,self_attn.q_proj,4,128,8,128,9.0902862548828125,8.25390625,16777216,23.477997808080044,1,3.2995461651808e-7
0,self_attn.q_proj,8,32,8,128,0.3672587275505066,17.015625,16777216,23.477997808080044,1,1.0704397368499483e-9
0,self_attn.q_proj,8,64,8,128,0.4547851383686065,16.5078125,16777216,23.477997808080044,1,1.1988625647774143e-9
0,self_attn.q_proj,8,128,8,128,0.5482342839241028,16.25390625,16777216,23.477997808080044,1,1.4107603973911862e-9
0,self_attn.v_proj,2,32,8,128,5.1504902839660645,1.25390625,4194304,5.243808587901302,1,3.304544179627555e-6
0,self_attn.v_proj,2,64,8,128,6.072350025177002,1.126953125,4194304,5.243808587901302,1,4.8869187594391406e-6
0,self_attn.v_proj,2,128,8,128,6.909933567047119,1.0634765625,4194304,5.243808587901302,1,6.980003036005655e-6
0,self_attn.v_proj,3,32,8,128,2.2044689655303955,1.75390625,4194304,5.243808587901302,1,7.449373242707225e-7
0,self_attn.v_proj,3,64,8,128,2.6054704189300537,1.626953125,4194304,5.243808587901302,1,1.038387722473999e-6
0,self_attn.v_proj,3,128,8,128,2.9787304401397705,1.5634765625,4194304,5.243808587901302,1,1.5446798897755798e-6
0,self_attn.v_proj,4,32,8,128,1.0286246538162231,2.25390625,4194304,5.243808587901302,1,1.8924012579191185e-7
0,self_attn.v_proj,4,64,8,128,1.2157593965530396,2.126953125,4194304,5.243808587901302,1,2.350435579501209e-7
0,self_attn.v_proj,4,128,8,128,1.390173077583313,2.0634765625,4194304,5.243808587901302,1,3.2995461651808e-7
0,self_attn.v_proj,8,32,8,128,0.0632590651512146,4.25390625,4194304,5.243808587901302,1,1.0704397368499483e-9
0,self_attn.v_proj,8,64,8,128,0.074266493320465,4.126953125,4194304,5.243808587901302,1,1.1988625647774143e-9
0,self_attn.v_proj,8,128,8,128,0.0843224003911018,4.0634765625,4194304,5.243808587901302,1,1.4107603973911862e-9
0,self_attn.k_proj,2,32,8,128,21.851238250732425,1.25390625,4194304,19.91079330638038,1,3.304544179627555e-6
0,self_attn.k_proj,2,64,8,128,26.34428596496582,1.126953125,4194304,19.91079330638038,1,4.8869187594391406e-6
0,self_attn.k_proj,2,128,8,128,30.26717185974121,1.0634765625,4194304,19.91079330638038,1,6.980003036005655e-6
0,self_attn.k_proj,3,32,8,128,9.60117244720459,1.75390625,4194304,19.91079330638038,1,7.449373242707225e-7
0,self_attn.k_proj,3,64,8,128,11.86343479156494,1.626953125,4194304,19.91079330638038,1,1.038387722473999e-6
0,self_attn.k_proj,3,128,8,128,14.062352180480955,1.5634765625,4194304,19.91079330638038,1,1.5446798897755798e-6
0,self_attn.k_proj,4,32,8,128,4.484797477722168,2.25390625,4194304,19.91079330638038,1,1.8924012579191185e-7
0,self_attn.k_proj,4,64,8,128,5.547629356384277,2.126953125,4194304,19.91079330638038,1,2.350435579501209e-7
0,self_attn.k_proj,4,128,8,128,6.592917919158936,2.0634765625,4194304,19.91079330638038,1,3.2995461651808e-7
0,self_attn.k_proj,8,32,8,128,0.2718508839607239,4.25390625,4194304,19.91079330638038,1,1.0704397368499483e-9
0,self_attn.k_proj,8,64,8,128,0.3354998826980591,4.126953125,4194304,19.91079330638038,1,1.1988625647774143e-9
0,self_attn.k_proj,8,128,8,128,0.3979018926620483,4.0634765625,4194304,19.91079330638038,1,1.4107603973911862e-9
0,mlp.gate_proj,2,32,8,128,33.444522857666016,17.5546875,58720256,4.25397183529409,0.4491022877976912,7.432032816723222e-6
0,mlp.gate_proj,2,64,8,128,39.36700820922852,15.77734375,58720256,4.25397183529409,0.4491022877976912,1.0297422704752536e-5
0,mlp.gate_proj,2,128,8,128,44.94590759277344,14.888671875,58720256,4.25397183529409,0.4491022877976912,1.3835106983606238e-5
0,mlp.gate_proj,3,32,8,128,14.31833267211914,24.5546875,58720256,4.25397183529409,0.4491022877976912,1.290545242227381e-6
0,mlp.gate_proj,3,64,8,128,16.907611846923828,22.77734375,58720256,4.25397183529409,0.4491022877976912,1.8014482066064377e-6
0,mlp.gate_proj,3,128,8,128,19.3914794921875,21.888671875,58720256,4.25397183529409,0.4491022877976912,2.36177334045351e-6
0,mlp.gate_proj,4,32,8,128,6.679895401000977,31.5546875,58720256,4.25397183529409,0.4491022877976912,2.77455768582513e-7
0,mlp.gate_proj,4,64,8,128,7.8970112800598145,29.77734375,58720256,4.25397183529409,0.4491022877976912,3.8732471807634283e-7
0,mlp.gate_proj,4,128,8,128,9.0552396774292,28.888671875,58720256,4.25397183529409,0.4491022877976912,5.093872914585518e-7
0,mlp.gate_proj,8,32,8,128,0.40571129322052,59.5546875,58720256,4.25397183529409,0.4491022877976912,1.070508015565963e-9
0,mlp.gate_proj,8,64,8,128,0.4786460995674133,57.77734375,58720256,4.25397183529409,0.4491022877976912,1.4891359256807846e-9
0,mlp.gate_proj,8,128,8,128,0.5475429892539978,56.888671875,58720256,4.25397183529409,0.4491022877976912,1.929079562756897e-9
